note_path,note_name,note_hash,note_size,modified_time,stages,output_paths,statuses,processed_dates
/Users/jose/Documents/Obsidian/Evermd/AGUA/Big Data & Data Engineering Blog 4 companies using Big Data to address Water Scarcity.md,Big Data & Data Engineering Blog 4 companies using Big Data to address Water Scarcity.md,538328a0801357f5178b464aa48b7309,17405,1747835321.890585,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Big Data & Data Engineering Blog 4 companies using Big Data to address Water Scarcity.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Bureau of Reclamation showcases five water projects for private investors.md,Bureau of Reclamation showcases five water projects for private investors.md,1dbeda53de45fdeaee1b35044f57677f,8335,1747835322.2304873,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Bureau of Reclamation showcases five water projects for private investors.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/CDC - Cryptosporidiosis - General Information - A Guide to Water Filters.md,CDC - Cryptosporidiosis - General Information - A Guide to Water Filters.md,46493d82a0146a017cb06e564a2548ca,4775,1747835320.3335629,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/CDC - Cryptosporidiosis - General Information - A Guide to Water Filters.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/CONCESIONES DE AGUA - 2013 Observatorio Nacional del Agua, fundación Botín.md","CONCESIONES DE AGUA - 2013 Observatorio Nacional del Agua, fundación Botín.md",95c68461e3ab19c09e36c987ed59bb14,638,1747835321.4986758,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/CONCESIONES DE AGUA - 2013 Observatorio Nacional del Agua, fundación Botín.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/California Well Owner's Guide.md,California Well Owner's Guide.md,814933c05fa0c2849fae73b1370ac667,367,1747835320.394278,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/California Well Owner's Guide.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Case Study ADWEC uses @RISK from Palisade to forecast water demand in Abu Dhabi - Palisade.md,Case Study ADWEC uses @RISK from Palisade to forecast water demand in Abu Dhabi - Palisade.md,d83279c1f27f94d2ddbc58ead9f9f1ee,6551,1747835321.2027037,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Case Study ADWEC uses @RISK from Palisade to forecast water demand in Abu Dhabi - Palisade.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Conclusiones clave de la nueva investigación sobre el diseño del sistema de reutilización del agua - Noticias  iAgua.md,Conclusiones clave de la nueva investigación sobre el diseño del sistema de reutilización del agua - Noticias  iAgua.md,ed32e7f80afc966cece7f17ac9135931,33828,1747835320.9675312,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Conclusiones clave de la nueva investigación sobre el diseño del sistema de reutilización del agua - Noticias  iAgua.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Contaminantes emergentes Enemigos ocultos en casa - Noticias  iAgua.md,Contaminantes emergentes Enemigos ocultos en casa - Noticias  iAgua.md,5968a89871f5639a70fb7a39a7fc66dc,40289,1747835322.1325998,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/Contaminantes emergentes Enemigos ocultos en casa - Noticias  iAgua.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Código de Aguas El debate en torno a la privatización y los derechos del bien hídrico en el país  Emol.com.md,Código de Aguas El debate en torno a la privatización y los derechos del bien hídrico en el país  Emol.com.md,8238fc73789c1981b1893eebc415a1c9,12776,1747835321.1409197,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Código de Aguas El debate en torno a la privatización y los derechos del bien hídrico en el país  Emol.com.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Cómo hacer efectivo un derecho humano Experiencias de financiamiento en agua.md,Cómo hacer efectivo un derecho humano Experiencias de financiamiento en agua.md,4f598f3156f3abbba08f128ce3e16257,5210,1747835321.1127582,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Cómo hacer efectivo un derecho humano Experiencias de financiamiento en agua.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Desalination and water reuse markets continue to recover.md,Desalination and water reuse markets continue to recover.md,17333ab27ad1287f8018bc46285f39f6,12394,1747835322.0296843,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Desalination and water reuse markets continue to recover.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Developing competences for water utility change programmes.md,Developing competences for water utility change programmes.md,156a42829128f25b9d0ee48e5f93e169,4378,1747835321.2588906,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Developing competences for water utility change programmes.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/Diferencias en coste de agua urbana en España, ¿es justo este sistema - Blog  iAgua.md","Diferencias en coste de agua urbana en España, ¿es justo este sistema - Blog  iAgua.md",f7b192dddf6b21069b18580267ed3c71,9014,1747835320.9405355,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/Diferencias en coste de agua urbana en España, ¿es justo este sistema - Blog  iAgua.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Digital Offerings Help Aging Water Infrastructure  Automation World.md,Digital Offerings Help Aging Water Infrastructure  Automation World.md,fe7397105365e0ccc44489948dc170c7,22034,1747835321.5807607,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Digital Offerings Help Aging Water Infrastructure  Automation World.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/EEUU_Las subvenciones al agua  Un remedio temporal pero no reconocen el problema principal , Captación , Saneamiento y Depuración cuestan más.md","EEUU_Las subvenciones al agua  Un remedio temporal pero no reconocen el problema principal , Captación , Saneamiento y Depuración cuestan más.md",178b36a303d4902b8cceb0a3bf370cbc,3622,1747835321.3122468,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/EEUU_Las subvenciones al agua  Un remedio temporal pero no reconocen el problema principal , Captación , Saneamiento y Depuración cuestan más.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/EPA CONSUMER GUIDE.md,EPA CONSUMER GUIDE.md,e7e523d9144776c1ef3d40f99ecca8c7,263,1747835322.260577,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/EPA CONSUMER GUIDE.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/El Canal de Isabel II valora en 127 millones la red que tiene que desmantelar - elEconomista.es.md,El Canal de Isabel II valora en 127 millones la red que tiene que desmantelar - elEconomista.es.md,17c7c31fa2d159048d9be37d3a2e7d4d,6484,1747835321.9078655,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/El Canal de Isabel II valora en 127 millones la red que tiene que desmantelar - elEconomista.es.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/El envejecimiento de las infraestructuras de los servicios de agua potable y saneamiento apremia a realizar un esfuerzo inversor sostenido - AGA - Asociación Española de Empresas Gestoras de Servicios de_6c0e6f.md,El envejecimiento de las infraestructuras de los servicios de agua potable y saneamiento apremia a realizar un esfuerzo inversor sostenido - AGA - Asociación Española de Empresas Gestoras de Servicios de_6c0e6f.md,ba4c02f1c1017c411e34da3b80d160fa,23684,1747835320.6464424,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/El envejecimiento de las infraestructuras de los servicios de agua potable y saneamiento apremia a realizar un esfuerzo inversor sostenido - AGA - Asociación Española de Empresas Gestoras de Servicios de_6c0e6f.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/El juez rechaza paralizar el proceso de remunicipalización del agua en Valladolid.md,El juez rechaza paralizar el proceso de remunicipalización del agua en Valladolid.md,188b9d760602602b4005d4c8b935f322,8352,1747835322.0017946,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/El juez rechaza paralizar el proceso de remunicipalización del agua en Valladolid.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/El precio del agua en las ciudades españolas 2016 Infografía - Blog  iAgua.md,El precio del agua en las ciudades españolas 2016 Infografía - Blog  iAgua.md,1a899e56211b9be13d2f2825322935a6,18273,1747835321.6856186,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/El precio del agua en las ciudades españolas 2016 Infografía - Blog  iAgua.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/El precio del agua ¿tasa o tarifa  Economía  Móvil  Cinco Días.md,El precio del agua ¿tasa o tarifa  Economía  Móvil  Cinco Días.md,5fbaf255cb5992752e90cceb094e1f06,11270,1747835321.0222785,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/El precio del agua ¿tasa o tarifa  Economía  Móvil  Cinco Días.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/Entrevista a Gonzalo Delacámara, Director Académico del Foro de la Economía del Agua.md","Entrevista a Gonzalo Delacámara, Director Académico del Foro de la Economía del Agua.md",ded22f7604ce85de08beb3488bca8b74,49538,1747835321.539293,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/Entrevista a Gonzalo Delacámara, Director Académico del Foro de la Economía del Agua.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/España es el país con la mayor dispersión de precios del agua de Europa.md,España es el país con la mayor dispersión de precios del agua de Europa.md,beb3a579e8dac7d9d92f00d01e9bb3ea,25324,1747835322.1574621,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/España es el país con la mayor dispersión de precios del agua de Europa.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/España no necesita un pacto nacional del agua, sino cumplir con urgencia con los compromisos europeos en materia de aguas - SEOBirdLife.md","España no necesita un pacto nacional del agua, sino cumplir con urgencia con los compromisos europeos en materia de aguas - SEOBirdLife.md",2a90a228f6549850f3a69c064d94ab35,20221,1747835321.859337,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/España no necesita un pacto nacional del agua, sino cumplir con urgencia con los compromisos europeos en materia de aguas - SEOBirdLife.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Former Veolia CEO Herrewyn launches industrial water business.md,Former Veolia CEO Herrewyn launches industrial water business.md,6b12f0bf88955b8f8fd58cb623df4191,2606,1747835321.4640338,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Former Veolia CEO Herrewyn launches industrial water business.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Generations of change thanks to water and sanitation - BBC News.md,Generations of change thanks to water and sanitation - BBC News.md,e7da096f2abc1226e527df63efed1ea4,19497,1747835321.2263558,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/Generations of change thanks to water and sanitation - BBC News.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Graphene-based sieve turns seawater into drinking water - BBC News.md,Graphene-based sieve turns seawater into drinking water - BBC News.md,3151b135a9a719972cdccda9f39092a1,26528,1747835320.6201375,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Graphene-based sieve turns seawater into drinking water - BBC News.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Guiding Principles.md,Guiding Principles.md,a333552a0abc8958be0add547a07fdc1,33758,1747835321.8321126,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Guiding Principles.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Home SUEZ's degremont® water handbook.md,Home SUEZ's degremont® water handbook.md,cfa841051b34a010237d607ab9d55ae5,5412,1747835322.2406504,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Home SUEZ's degremont® water handbook.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Hot off the press Human-Rights Based Approach to IWRM Training Manual and Facilitator’s Guide - Water Governance Facility.md,Hot off the press Human-Rights Based Approach to IWRM Training Manual and Facilitator’s Guide - Water Governance Facility.md,a9a254461638a8e01cd4c9f3cb7e7f78,2247,1747835321.6473367,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Hot off the press Human-Rights Based Approach to IWRM Training Manual and Facilitator’s Guide - Water Governance Facility.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/How BIM is Redefining Water.md,How BIM is Redefining Water.md,3825fbc8b6b603f2ca676c4754b57e1b,17638,1747835320.5962474,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/How BIM is Redefining Water.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Human right to water and sanitation.md,Human right to water and sanitation.md,e3089f674f43d4264e62972029e05872,319,1747835321.1881378,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Human right to water and sanitation.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/In American Towns, Private Profits From Public Works.md","In American Towns, Private Profits From Public Works.md",f2af2fee841cae5bc78350338e96ba24,39137,1747835321.4267275,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/In American Towns, Private Profits From Public Works.md",completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/In Peru, droughts give way to floods as climate change looms.md","In Peru, droughts give way to floods as climate change looms.md",c8ed8b3970e996a1ffd390234ce0a914,21207,1747835320.3898787,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/In Peru, droughts give way to floods as climate change looms.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Informe sobre la contraprestación del servicio de abastecimiento domiciliario de agua La Sentencia del Tribunal Supremo de 23 de noviembre de 2015.md,Informe sobre la contraprestación del servicio de abastecimiento domiciliario de agua La Sentencia del Tribunal Supremo de 23 de noviembre de 2015.md,78230e9460bf06aa9a8890b57fb65f7b,91351,1747835321.4015355,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/Informe sobre la contraprestación del servicio de abastecimiento domiciliario de agua La Sentencia del Tribunal Supremo de 23 de noviembre de 2015.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/JORNADA 2015 RENOVACIÓN INFRAESTRUCTURAS DEL AGUA - EMASESA AEAS.md,JORNADA 2015 RENOVACIÓN INFRAESTRUCTURAS DEL AGUA - EMASESA AEAS.md,c47dc0c3cfa330a4f834c62caf1e08f3,6364,1747835321.158448,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/JORNADA 2015 RENOVACIÓN INFRAESTRUCTURAS DEL AGUA - EMASESA AEAS.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/LISTADO DE TIPOS DE ANÁLISIS.md,LISTADO DE TIPOS DE ANÁLISIS.md,39d8a9083a55e32532ac0dfc7c58883b,356,1747835320.3587863,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/LISTADO DE TIPOS DE ANÁLISIS.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/La guerra del agua de Ada Colau.md,La guerra del agua de Ada Colau.md,ab99e3e9a781b68c2e6eafd3135f08e5,14416,1747835321.1848962,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/La guerra del agua de Ada Colau.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/La inversión en infraestructuras de agua y saneamiento en España continúa siendo insuficiente - Noticias  iAgua.md,La inversión en infraestructuras de agua y saneamiento en España continúa siendo insuficiente - Noticias  iAgua.md,6ca0f1716712be12b82962468d1019a0,62883,1747835320.3207996,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/La inversión en infraestructuras de agua y saneamiento en España continúa siendo insuficiente - Noticias  iAgua.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/La primera red inteligente de agua de España, en Burgos, cumple un año de funcionamiento.md","La primera red inteligente de agua de España, en Burgos, cumple un año de funcionamiento.md",542426def920107e99c142caee0d79f2,38026,1747835320.446925,curated,"/Users/jose/Documents/Obsidian/Ever-curated/notes/La primera red inteligente de agua de España, en Burgos, cumple un año de funcionamiento.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/La relación del agua con las pensiones en Pensilvania.md,La relación del agua con las pensiones en Pensilvania.md,1b7e6e0d9a0c92fc8e053d11f82e4fc0,6840,1747835321.8062515,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/La relación del agua con las pensiones en Pensilvania.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/La remunicipalización y los US$144 mil millones de déficit de inversión en infraestructuras de agua en EEUU hasta 2040.md,La remunicipalización y los US$144 mil millones de déficit de inversión en infraestructuras de agua en EEUU hasta 2040.md,951e688a9a4e22fea61f07b974fc0481,6314,1747835322.2114513,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/La remunicipalización y los US$144 mil millones de déficit de inversión en infraestructuras de agua en EEUU hasta 2040.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/La unidad del todo - El agua.md,La unidad del todo - El agua.md,4efa5833a138e17fb938587e4f963f03,2870,1747835321.2475498,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/La unidad del todo - El agua.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Liquidity crisis - Water scarcity - The Economist.md,Liquidity crisis - Water scarcity - The Economist.md,36faf2ec52c1e6259ce233777f09341a,31473,1747835320.537166,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Liquidity crisis - Water scarcity - The Economist.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Look to Windward The Case for Wind Powered Desalination.md,Look to Windward The Case for Wind Powered Desalination.md,f3b0177f82465df8ecb2a16a0afa27bb,21655,1747835320.137503,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Look to Windward The Case for Wind Powered Desalination.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Los 3 retos de la economía del ciclo urbano del agua en España.md,Los 3 retos de la economía del ciclo urbano del agua en España.md,80943f7c31a98e46ee06e7de70eade4e,16146,1747835320.9939542,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Los 3 retos de la economía del ciclo urbano del agua en España.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/MAPA DE USO DEL AGUA MUNDIAL.md,MAPA DE USO DEL AGUA MUNDIAL.md,2ef733d055062fb0bde9b1db97119a53,284,1747835320.3981113,triaged,/Users/jose/Documents/Obsidian/Ever-curated/triage/MAPA DE USO DEL AGUA MUNDIAL.md,completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Macquarie to complete £1.5bn sale of stake in Thames Water.md,Macquarie to complete £1.5bn sale of stake in Thames Water.md,be5d2bcf984828d9615591e3ca4dcb4c,1766,1747835321.237512,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Macquarie to complete £1.5bn sale of stake in Thames Water.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/Ministerio de Sanidad, Servicios Sociales e Igualdad - Profesionales - Salud pública - Sanidad Ambiental y Laboral - Calidad de las aguas - Legislación laboratorios.md","Ministerio de Sanidad, Servicios Sociales e Igualdad - Profesionales - Salud pública - Sanidad Ambiental y Laboral - Calidad de las aguas - Legislación laboratorios.md",2f27e4ebae185b3dec67e0256531e544,8434,1747835321.2975671,triaged,"/Users/jose/Documents/Obsidian/Ever-curated/triage/Ministerio de Sanidad, Servicios Sociales e Igualdad - Profesionales - Salud pública - Sanidad Ambiental y Laboral - Calidad de las aguas - Legislación laboratorios.md",completed,2025-10-18 11:35:35
/Users/jose/Documents/Obsidian/Evermd/AGUA/Modelo que simula el comportamiento hidráulico completo de las redes de distribución de agua.md,Modelo que simula el comportamiento hidráulico completo de las redes de distribución de agua.md,1c1d8e4584fe8bef20df4e2e1ce8b6da,12291,1747835322.3345346,curated,/Users/jose/Documents/Obsidian/Ever-curated/notes/Modelo que simula el comportamiento hidráulico completo de las redes de distribución de agua.md,completed,2025-10-18 11:35:35
"/Users/jose/Documents/Obsidian/Evermd/AGUA/Modifying Water Chemistry, by Grant Gussie.md","Modifying Water Chemistry, by Grant Gussie.md",23862c07de47b1b0d184a8ae03bcfbd2,24205,1747835322.0703075,preprocessed,"/Users/jose/Documents/Obsidian/Ever-preprocessed/AGUA/Modifying Water Chemistry, by Grant Gussie.md",completed,2025-10-18 11:35:35
